0.0363214, 0.420702, 0.035
0.969424, 0.528724, 0.03
0.127225, 0.816436, 0.08
0.648535, 0.761567, 0.035
0.404227, 0.29517, 0.025
0.70958, 0.752238, 0.025
0.453303, 0.886032, 0.055
0.13872, 0.458399, 0.07
0.530092, 0.302921, 0.1
0.396153, 0.221001, 0.015
0.446616, 0.785889, 0.045
0.202076, 0.682367, 0.07
0.987451, 0.677296, 0.01
0.415525, 0.253254, 0.015
0.755929, 0.0898586, 0.085
0.358769, 0.574509, 0.08
0.972166, 0.650744, 0.02
0.848801, 0.717685, 0.115
0.76216, 0.531675, 0.09
0.822033, 0.196672, 0.04
0.384396, 0.371128, 0.035
0.128712, 0.199344, 0.125
0.440122, 0.65251, 0.03
0.359051, 0.426944, 0.025
0.290426, 0.647668, 0.02
0.989701, 0.260979, 0.01
0.393826, 0.700172, 0.035
0.374288, 0.132324, 0.075
0.619398, 0.0681605, 0.05
0.57715, 0.49597, 0.095
0.768605, 0.326428, 0.1
0.0217242, 0.594104, 0.02
0.19613, 0.0165311, 0.015
0.031479, 0.900969, 0.02
0.130617, 0.346833, 0.015
0.0145824, 0.467604, 0.01
0.899822, 0.893789, 0.065
0.0937138, 0.357787, 0.02
0.451433, 0.479859, 0.03
0.59277, 0.799184, 0.03
0.722462, 0.63869, 0.02
0.266382, 0.753294, 0.025
0.894836, 0.582774, 0.025
0.528389, 0.0123715, 0.01
0.0469034, 0.87247, 0.01
0.335276, 0.798774, 0.025
0.584626, 0.744918, 0.02
0.95986, 0.324454, 0.01
0.617429, 0.684296, 0.045
0.791731, 0.99108, 0.005
0.66106, 0.594603, 0.025
0.949675, 0.00876227, 0.005
0.0069973, 0.829192, 0.005
0.400278, 0.660514, 0.005
0.375409, 0.815973, 0.015
0.982386, 0.0796516, 0.015
0.893479, 0.057091, 0.055
0.985751, 0.320132, 0.01
0.0638146, 0.0580344, 0.03
0.633526, 0.155118, 0.035
0.633635, 0.831267, 0.02
0.536125, 0.141688, 0.04
0.281495, 0.833199, 0.035
0.897697, 0.269792, 0.04
0.431622, 0.993748, 0.005
0.47676, 0.988975, 0.01
0.989634, 0.866788, 0.01
0.309637, 0.996688, 0
0.333118, 0.269504, 0.05
0.972584, 0.919086, 0.01
0.263132, 0.207135, 0.005
0.545935, 0.0596621, 0.02
0.359422, 0.003808, 0
0.480467, 0.0731858, 0.045
0.348787, 0.932348, 0.055
0.272328, 0.175739, 0.02
0.146064, 0.935083, 0.04
0.970772, 0.992716, 0
0.337469, 0.47818, 0.015
0.0604968, 0.498665, 0.015
0.127613, 0.608621, 0.03
0.659493, 0.925619, 0.05
0.972128, 0.997938, 0
0.45752, 0.196986, 0.025
0.445434, 0.415522, 0.03
0.714551, 0.830689, 0.05
0.994497, 0.355932, 0.005
0.206813, 0.349846, 0.04
0.0206585, 0.040128, 0.015
0.972512, 0.340685, 0.01
0.227654, 0.881577, 0.03
0.995543, 0.192493, 0
0.527216, 0.0360024, 0.01
0.275238, 0.490544, 0.035
0.121545, 0.560975, 0.015
0.0039339, 0.506211, 0
0.343491, 0.707655, 0.015
0.463381, 0.00499004, 0
0.240714, 0.948035, 0.035
0.548217, 0.0834044, 0
0.707513, 0.208082, 0.03
0.542977, 0.993033, 0.005
0.00969106, 0.340966, 0.005
0.0859376, 0.625712, 0.015
0.0321177, 0.476257, 0.005
0.000820355, 0.619818, 0
0.801166, 0.887068, 0.01
0.273578, 0.793656, 0.005
0.787823, 0.888856, 0
0.00898063, 0.681057, 0.005
0.614868, 0.62641, 0.01
